surface,polarity,intensity
最高,positive,0.9
素晴らしい,positive,0.9
素敵,positive,0.7
良い,positive,0.5
いい,positive,0.5
便利,positive,0.7
使いやすい,positive,0.7
おすすめ,positive,0.7
お勧め,positive,0.7
快適,positive,0.7
満足,positive,0.7
優秀,positive,0.7
丁寧,positive,0.7
親切,positive,0.7
美味しい,positive,0.7
おいしい,positive,0.7
綺麗,positive,0.7
きれい,positive,0.7
安い,positive,0.7
お得,positive,0.7
完璧,positive,0.9
神対応,positive,0.9
助かる,positive,0.7
助かった,positive,0.7
助かります,positive,0.7
分かりやすい,positive,0.7
わかりやすい,positive,0.7
早い,positive,0.7
速い,positive,0.7
上手,positive,0.7
好評,positive,0.7
高品質,positive,0.7
心地よい,positive,0.7
見やすい,positive,0.7
読みやすい,positive,0.7
頼もしい,positive,0.7
期待以上,positive,0.7
文句なし,positive,0.9
申し分ない,positive,0.9
気に入った,positive,0.7
気に入り,positive,0.7
秀逸,positive,0.9
良好,positive,0.7
順調,positive,0.7
適切,positive,0.7
正確,positive,0.7
快い,positive,0.7
清潔,positive,0.7
スムーズ,positive,0.7
手軽,positive,0.7
リーズナブル,positive,0.7
コスパ最高,positive,0.9
コスパ良い,positive,0.7
高評価,positive,0.7
問題ない,positive,0.5
問題なし,positive,0.5
使える,positive,0.5
役立つ,positive,0.7
役に立つ,positive,0.7
役に立った,positive,0.7
価値がある,positive,0.7
価値あり,positive,0.7
買ってよかった,positive,0.7
買って良かった,positive,0.7
大満足,positive,0.9
満足度が高い,positive,0.7
おいしかった,positive,0.7
美味しかった,positive,0.7
良かった,positive,0.7
よかった,positive,0.7
優れている,positive,0.7
優れた,positive,0.7
充実,positive,0.7
充実している,positive,0.7
快適に,positive,0.7
便利に,positive,0.7
手厚い,positive,0.7
迅速,positive,0.7
誠実,positive,0.7
信頼できる,positive,0.7
安全,positive,0.7
安定,positive,0.7
安定している,positive,0.7
頑丈,positive,0.7
丈夫,positive,0.7
長持ち,positive,0.7
使いこなせる,positive,0.7
直感的,positive,0.7
