surface,base_emotion,plutchik_emotion,polarity,intensity,example,example_id,priority
ワクワク,joy,anticipation,positive,0.9,新しいプロジェクトが始まってワクワクする,EX-ANT-001,100
ワクワク,joy,anticipation,positive,0.85,明日のイベントワクワクする,EX-ANT-002,90
頼もしい,admiration,trust,positive,0.8,チームメンバーが頼もしい,EX-TRU-001,100
頼もしい,admiration,trust,positive,0.75,先輩が頼もしい,EX-TRU-002,90
どうしよう,anxiety,fear,negative,0.7,思ったより難しくてどうしよう,EX-FEA-001,90
どうしよう,anxiety,fear,negative,0.65,締め切り近いのにバグ出たどうしよう,EX-FEA-002,85
仕様変更,anger,anger,negative,0.7,また仕様変更でイライラする,EX-ANG-001,90
仕様変更,anger,anger,negative,0.75,さっき決めたばかりなのに仕様変更,EX-ANG-002,85
美味しい,joy,joy,positive,0.6,安定の美味しさで嬉しい,EX-JOY-001,80
美味しい,joy,joy,positive,0.55,今日のご飯美味しい,EX-JOY-002,75
最高,joy,joy,positive,0.9,この映画最高だった,EX-JOY-003,90
最高,joy,joy,positive,0.85,チーム最高,EX-JOY-004,85
泣いた,moved,joy,positive,0.8,このアニメ尊すぎて泣いた,EX-MOV-001,100
びっくり,exaggeration,surprise,mixed,0.7,予想外でびっくりした,EX-SUR-001,80
しぬw,exaggeration,surprise,mixed,0.75,面白すぎてしぬw,EX-EXA-001,90
うざっ,irritation,disgust,negative,0.8,対応うざっ,EX-DIS-001,85
悲しい,sadness,sadness,negative,0.8,大事な物なくして悲しい,EX-SAD-001,85
