surface,normalized,meaning,emotion,category,intensity,keep_as_unit
草,笑い,laugh,joy,sns,0.4,true
しぬw,非常に面白い/つらい,exaggeration,exaggeration,sns,0.7,true
しぬww,非常に面白い/つらい,exaggeration,exaggeration,sns,0.75,true
しぬwww,非常に面白い/つらい,exaggeration,exaggeration,sns,0.8,true
それな,同意,agreement,agreement,sns,0.5,true
えぐい,非常にすごい/ひどい,intense,mixed,sns,0.8,true
尊い,強い好意/称賛,admiration,admiration,sns,0.9,true
尊すぎ,強い好意/称賛,admiration,admiration,sns,0.95,true
無理すぎ,強い拒否,refusal,refusal,sns,0.85,true
神,最高の称賛,admiration,admiration,sns,0.9,false
www,笑い,laugh,joy,sns,0.3,true
ワラッタ,笑った,laugh,joy,sns,0.45,true
わらった,笑った,laugh,joy,sns,0.45,true
ワロタ,笑った,laugh,joy,sns,0.5,true
わろた,笑った,laugh,joy,sns,0.5,true
ワロス,笑った,laugh,joy,sns,0.5,true
草生える,笑った,laugh,joy,sns,0.55,true
大草原,大笑い,laugh,joy,sns,0.65,true
やばい,やばい,intense,exaggeration,sns,0.7,false
ヤバい,やばい,intense,exaggeration,sns,0.7,false
やばすぎ,やばすぎ,extremely intense,exaggeration,sns,0.8,true
ヤバすぎ,ヤバすぎ,extremely intense,exaggeration,sns,0.8,true
エモすぎ,エモすぎ,too emotional,moved,sns,0.85,true
w,笑い,laugh,joy,sns,0.25,false
ww,大笑い,laugh,joy,sns,0.35,false
ウケる,笑える/面白い,laugh,joy,sns,0.55,true
ウケた,笑えた/面白かった,laughed,joy,sns,0.55,true
笑える,笑える,laughable,joy,sns,0.5,true
笑い死に,笑い死に,dying of laughter,joy,sns,0.8,true
草不可避,笑いが止まらない,can't stop laughing,joy,sns,0.75,true
大草原不可避,大笑いが止まらない,extremely funny,joy,sns,0.8,true
生えた,草が生えた,started laughing,joy,sns,0.55,true
まじ,本当に,seriously/really,exaggeration,sns,0.5,true
マジ,本当に,seriously/really,exaggeration,sns,0.5,false
まじか,本当に?,surprise,exaggeration,sns,0.65,true
マジか,本当に?,surprise,exaggeration,sns,0.65,true
まじかよ,本当か?,disbelief,exaggeration,sns,0.7,true
マジかよ,本当か?,disbelief,exaggeration,sns,0.7,true
まじで,本当に,seriously,exaggeration,sns,0.6,true
マジで,本当に,seriously,exaggeration,sns,0.6,true
うそ,本当に?,disbelief,exaggeration,sns,0.6,true
うそだろ,嘘でしょ,you're kidding,exaggeration,sns,0.7,true
嘘だろ,嘘でしょ,you're kidding,exaggeration,sns,0.7,true
えっ,えっ,surprise,exaggeration,sns,0.5,true
はぁ,はぁ,sigh/confusion,mixed,sns,0.45,true
神すぎ,神すぎる,too godly,admiration,sns,0.95,true
天才すぎ,天才すぎる,too genius,admiration,sns,0.9,true
天才,天才,genius,admiration,sns,0.85,false
神回,神の回,god-tier episode,admiration,sns,0.85,false
神曲,神の曲,godly song,admiration,sns,0.85,false
神対応,神の対応,godly response,admiration,sns,0.9,false
最高すぎ,最高すぎる,too great,admiration,sns,0.9,true
さすが,さすが,as expected,admiration,sns,0.7,true
さすがすぎ,さすがすぎる,too impressive,admiration,sns,0.8,true
エモい,感情的な,emotional/nostalgic,moved,sns,0.75,true
