word,emotion,intensity,context,examples,emojis
最高,喜び,1.0,イベント・食事,今日のライブ最高すぎた、このパフェ最高に美味しい、最高の一日になった、マジで最高！、天気が良くて最高,"✨,🎉,🤩"
尊い,喜び,1.0,神聖な感動,推しが尊すぎて無理、この友情が尊い、尊い時間をありがとう、あまりにも尊い、尊さの極み,"🙏,🥺,💖"
歓喜,喜び,1.0,勝利,歓喜の瞬間、スタジアムが歓喜に沸く、歓喜の涙、歓喜に震える、歓喜の歌,"🏆,🎉,✨"
絶頂,喜び,1.0,最高潮,幸福の絶頂、人気の絶頂、絶頂期を迎える、絶頂に達する、絶頂を味わう,"👑,✨,🚀"
最高潮,喜び,1.0,イベント,会場の熱気が最高潮、興奮が最高潮に達する、ムードが最高潮、最高潮の盛り上がり、幸せが最高潮,"🔥,🚀,✨"
至福,喜び,1.0,感覚,至福のひととき、至福の時間、至福の喜び、至福の表情、至福の味,"😇,✨,🍰"
神対応,喜び,1.0,サービス,運営の神対応に感動、店員さんが神対応だった、まさに神対応、神対応すぎて泣ける、神対応ありがとうございます,"🙏,😇,✨"
神ゲー,喜び,1.0,最高評価,これこそ神ゲー、神ゲーに出会えた幸せ、神ゲーすぎて時間が溶ける、まさに神ゲー、神ゲーをプレイ中,"🎮,😇,✨"
無双,喜び,1.0,圧倒的,戦場で無双、完全に無双状態、無双して勝つ、無双の強さ、一人で無双,"⚔️,👑,✨"
神引き,喜び,1.0,幸運,ガチャで神引きした、最高の神引き、神引きすぎて震える、神引きの瞬間、神引きありがとうございます,"🍀,✨,😇"
万バズ,喜び,1.0,承認欲求,人生初の万バズ、万バズして通知が鳴り止まない、まさかのツイートが万バズ、万バズの破壊力すごい、万バズ記念に宣伝,"🎉,🔥,📈"
神回,喜び,1.0,称賛・感動,今回の放送は神回確定、神回すぎて録画保存、神回をありがとう、まさに伝説の神回、神回に立ち会えて幸せ,"😇,✨,📺"
語彙力消失,喜び,1.0,感動・衝撃,尊すぎて語彙力消失、語彙力消失するほどの美しさ、語彙力消失して「やばい」しか言えない、語彙力消失の極み、最高すぎて語彙力消失,"🥺,🙏,💥"
神運営,喜び,1.0,称賛,公式が神運営すぎる、神運営の対応に感謝、まさに神運営、神運営すぎて課金する、神運営のセンスが神,"😇,🙏,💎"
最の高,喜び,0.95,最高の強調表現,最の高すぎる、最の高案件、これが最の高、最の高でしかない、最の高を更新した,"👑,🔥,🏆"
誇らしい,喜び,0.9,称賛・自負,自分のことのように誇らしい、子供の成長が誇らしい、誇らしい結果を残した、誇らしく思います、堂々として誇らしい,"🏅,✨,👏"
神,喜び,0.9,称賛,このアプデ神すぎる、神対応に感謝、神曲きた！、マジで神、神がかってて感動,"🙏,😇,🌟"
